Case Number,Date,Primary Type,Description,Location Description,Arrest,Domestic,FBI Code,Location,Time,Seconds,Hour,NEW LOCATION,Latitude,Longitude,simple location
HY413682,8/20/2015 14:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,5,"(41.740607602, -87.545387884)",2:00:00,0,2, South Chicago,41.7406076,-87.54538788,East Side
HY413718,9/4/2015 15:45,THEFT,$500 AND UNDER,RESTAURANT,TRUE,FALSE,6,"(41.938846594, -87.745444094)",3:45:00,0,3, Portage Park,41.93884659,-87.74544409,Upper Town
HY413566,9/7/2015 4:00,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET,FALSE,FALSE,3,"(41.981580288, -87.694248048)",4:00:00,0,4, Lincoln Square,41.98158029,-87.69424805,Upper Town
HY412919,9/5/2015 15:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,26,"(41.899096313, -87.755700717)",3:00:00,0,3, Austin,41.89909631,-87.75570072,West Side
HY413745,9/3/2015 10:30,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,5,"(41.885730611, -87.625542215)",10:30:00,0,10, Loop,41.88573061,-87.62554222,Upper Town
HY413748,9/6/2015 19:21,BATTERY,SIMPLE,OTHER,FALSE,FALSE,08B,"(41.786735319, -87.665162422)",7:21:00,0,7, West Englewood,41.78673532,-87.66516242,Lower Town
HY413693,9/7/2015 9:00,ASSAULT,SIMPLE,GAS STATION,TRUE,FALSE,08A,"(41.715680818, -87.643058205)",9:00:00,0,9, Washington Heights,41.71568082,-87.64305821,Middle City
HY413687,9/7/2015 6:30,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,14,"(41.79160048, -87.641441198)",6:30:00,0,6, Englewood,41.79160048,-87.6414412,Lower Town
HY413713,7/9/2015 12:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,26,"(41.892631803, -87.618362824)",12:00:00,0,12, Near North Side,41.8926318,-87.61836282,Upper Town
HY413744,9/7/2015 9:40,ROBBERY,ATTEMPT: ARMED-HANDGUN,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,3,"(41.814317008, -87.606674143)",9:40:00,0,9, Grand Boulevard,41.81431701,-87.60667414,Middle City
HY413751,9/7/2015 9:51,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,18,"(41.786931529, -87.651384339)",9:51:00,0,9, Englewood,41.78693153,-87.65138434,Lower Town
HY413763,9/6/2015 16:00,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,FALSE,FALSE,11,"(41.780833211, -87.660607674)",4:00:00,0,4, West Englewood,41.78083321,-87.66060767,Lower Town
HY413696,9/7/2015 1:00,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,5,"(41.750933942, -87.6263067)",1:00:00,0,1, Chatham,41.75093394,-87.6263067,Middle City
JC471509,10/13/2019 18:15,ASSAULT,SIMPLE,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,08A,"(41.922655899, -87.653519985)",6:15:00,0,6, Lincoln Park,41.9226559,-87.65351999,Upper Town
HY193605,3/21/2015 20:33,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,TRUE,TRUE,04B,"(41.87541531, -87.713930327)",8:33:00,0,8, East Garfield Park,41.87541531,-87.71393033,West Side
HY410080,9/4/2015 12:10,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,FALSE,FALSE,14,"(41.740463125, -87.663183701)",12:10:00,0,12, Auburn Gresham,41.74046313,-87.6631837,Lower Town
HY413701,9/7/2015 9:30,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,18,"(41.867121846, -87.721547674)",9:30:00,0,9, North Lawndale,41.86712185,-87.72154767,West Side
HY413664,9/6/2015 21:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,7,"(41.879608002, -87.709777125)",9:30:00,0,9, East Garfield Park,41.879608,-87.70977713,West Side
HY413785,9/7/2015 10:40,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,18,"(41.749574714, -87.557704997)",10:40:00,0,10, South Chicago,41.74957471,-87.557705,East Side
HY413706,9/7/2015 9:25,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.806050397, -87.656393648)",9:25:00,0,9, New City,41.8060504,-87.65639365,Middle City
HY413749,9/7/2015 10:30,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,18,"(41.822562231, -87.694646782)",10:30:00,0,10, Brighton Park,41.82256223,-87.69464678,Lower Town
HY413759,9/7/2015 10:03,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,08A,"(41.799234303, -87.619339619)",10:03:00,0,10, Washington Park,41.7992343,-87.61933962,Middle City
HY413649,9/7/2015 8:00,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CONVENIENCE STORE,TRUE,FALSE,04A,"(41.751328369, -87.601209921)",8:00:00,0,8, Greater Grand Crossing,41.75132837,-87.60120992,Middle City
HY413800,9/7/2015 10:34,OTHER OFFENSE,PAROLE VIOLATION,PARK PROPERTY,TRUE,FALSE,26,"(42.019371503, -87.671181992)",10:34:00,0,10, Rogers Park,42.0193715,-87.67118199,Upper Town
HY413666,9/7/2015 8:51,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,FALSE,FALSE,26,"(41.86018026, -87.711584798)",8:51:00,0,8, North Lawndale,41.86018026,-87.7115848,West Side
HY405910,7/7/2015 8:00,THEFT,OVER $500,RESIDENCE,TRUE,FALSE,6,"(41.925356184, -87.71212461)",8:00:00,0,8, Logan Square,41.92535618,-87.71212461,West Side
HY413774,9/6/2015 21:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,7,"(41.840674257, -87.735400089)",9:30:00,0,9, South Lawndale,41.84067426,-87.73540009,Lower Town
HY413814,9/7/2015 11:05,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,18,"(41.903121957, -87.758952142)",11:05:00,0,11, Beat 2532,41.90312196,-87.75895214,Upper Town
HY404783,8/31/2015 14:00,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,6,"(41.87766908, -87.629284766)",2:00:00,0,2, Loop,41.87766908,-87.62928477,Upper Town
HY413750,9/5/2015 20:30,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,08B,"(41.776816906, -87.724309444)",8:30:00,0,8, West Lawn,41.77681691,-87.72430944,Lower Town
HY413827,9/6/2015 21:15,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,6,"(41.70592204, -87.681604302)",9:15:00,0,9, Beverly,41.70592204,-87.6816043,Middle City
HY412651,9/6/2015 5:33,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,5,"(41.707277993, -87.681649204)",5:33:00,0,5, Beverly,41.70727799,-87.6816492,Middle City
HY413775,8/15/2015 2:00,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,08B,"(41.944953005, -87.649416212)",2:00:00,0,2, Lake View,41.94495301,-87.64941621,Upper Town
HY413784,9/7/2015 10:50,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,08B,"(41.762148034, -87.7211017)",10:50:00,0,10, West Lawn,41.76214803,-87.7211017,Lower Town
HY413805,9/4/2015 21:30,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,14,"(41.949103612, -87.650566562)",9:30:00,0,9, Lake View,41.94910361,-87.65056656,Upper Town
HY413842,8/10/2015 7:00,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,6,"(41.957333828, -87.650622101)",7:00:00,0,7, Uptown,41.95733383,-87.6506221,Upper Town
HY413724,9/7/2015 8:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,26,"(41.878557088, -87.748398495)",8:00:00,0,8, Austin,41.87855709,-87.7483985,West Side
HY413840,9/6/2015 10:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,14,"(41.781313042, -87.705626659)",10:00:00,0,10, Chicago Lawn,41.78131304,-87.70562666,Middle City
JD189808,3/18/2020 17:35,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,TRUE,FALSE,18,"(41.876128106, -87.745112291)",5:35:00,0,5, Austin,41.87612811,-87.74511229,West Side
HY193637,3/21/2015 21:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.900667966, -87.737287118)",9:00:00,0,9, Humboldt Park,41.90066797,-87.73728712,West Side
HY413837,9/6/2015 15:30,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,14,"(41.768572124, -87.615335847)",3:30:00,0,3, Greater Grand Crossing,41.76857212,-87.61533585,Middle City
HY413672,9/3/2015 22:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,7,"(41.702849166, -87.620710883)",10:30:00,0,10, Roseland,41.70284917,-87.62071088,East Side
HY413789,9/5/2015 10:00,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,6,"(41.895422545, -87.72038145)",10:00:00,0,10, Humboldt Park,41.89542255,-87.72038145,West Side
HY413780,9/6/2015 16:00,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,6,"(42.014916096, -87.670904385)",4:00:00,0,4, Rogers Park,42.0149161,-87.67090439,Upper Town
HY413786,9/5/2015 9:00,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,6,"(41.883518667, -87.757625783)",9:00:00,0,9, Austin,41.88351867,-87.75762578,West Side
